ลำดับ,ชื่อผลงาน (Title),ผู้แต่งที่แสดง,วารสาร (Source Title),ปี (Year),ประเภทเอกสาร (Document Type),Quartile,บทบาทผู้แต่ง (Author Role),DOI,Cited by,แหล่งทุน (Funder),รหัสทุน (Grant No.),ประเทศร่วมวิจัย,Abstract (จากเว็บไซต์ MSC),SDG หลัก (ประเมินเบื้องต้นจากชื่อเรื่อง),SDG รอง (อาจเป็นไปได้),เหตุผล/เกณฑ์ที่ใช้ประเมิน,ระดับความเชื่อมั่น,SDG ทางการจาก Scopus (รอเติม),ตรงกัน? (รอเติม),หมายเหตุ
1,External Validation of a Simple Mortality Risk Prediction Score for Tuberculosis Patients,Saisudjarit P.,Journal of Health Research,2026,Article,,Co-Author,10.56808/2586-940X.1180,0,Office of Disease Prevention,5017/2567,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,วัณโรค = โรคติดต่อ ตรงกับ target 3.3 โดยตรง,สูง,,,
2,Potential of Cannabidiol (CBD) to overcome extensively drug-resistant Acinetobacter baumannii,Yosboonruang A.,BMC Complementary Medicine and Therapies,2025,Article,Q1,Co-Author,10.1186/s12906-025-05056-w,4,University of Phayao,5031/2567,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,เชื้อดื้อยา (AMR) เป็นหัวข้อหลักภายใต้ SDG 3,สูง,,,
3,Calcium and Vitamin D Supplementation with and Without Collagen on Bone Density and Skin Elasticity in Menopausal Women—A Randomized Controlled Study,Duangjai A.,Clinics and Practice,2025,Article,,First Author,10.3390/clinpract15090168,4,,,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 5 (?),RCT สุขภาพกระดูก; กลุ่มตัวอย่างสตรีวัยหมดระดู อาจแตะ SDG 5 แต่ไม่แน่ชัด,ปานกลาง,,,
4,Identification of Novel Piperidine and Pyrrolidine Derivatives as Potent Inhibitors of Pancreatic Lipase-Based Molecular Docking and In Vitro Testing,Duangjai A.,Scientia Pharmaceutica,2025,Article,Q2,First Author,10.3390/scipharm93030043,1,,,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,การค้นหาสารต้านโรคอ้วน/ไขมัน (NCDs) target 3.4,ปานกลาง,,,
5,Restoring Multidrug-Resistant Escherichia coli Sensitivity to Ampicillin in Combination with (−)-Epigallocatechin Gallate,Kiddee A.,Antibiotics,2024,Article,Q1,Co-Author,10.3390/antibiotics13121211,7,University of Phayao,5031/2567,Japan; Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,AMR โดยตรง,สูง,,,
6,Antispasmodic Activity of Light-Roasted Coffee Extract and Its Potential Use in Gastrointestinal Motility Disorders,Duangjai A.,Foods,2024,Article,Q1,First Author,10.3390/foods13152307,3,National Science and Technology Development Agency,UoE63004,Japan; Thailand; Malaysia; China,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 2 (?),ความผิดปกติทางเดินอาหาร; วารสารด้านอาหารอาจแตะ SDG 2,ปานกลาง,,,
7,Suppressive Effect of Coffee Leaves on Lipid Digestion and Absorption In Vitro,Sansri V.,Foods,2024,Article,Q1,Co-Author,10.3390/foods13152445,4,,,Thailand; Malaysia; China,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 12 (?),ใบกาแฟเป็นวัสดุเหลือทิ้งเกษตร อาจเข้า SDG 12 แต่ไม่ยืนยัน,ปานกลาง,,,
8,"A Promising Functional Food for Diabetes Prevention, Antioxidation, and Anti-inflammation of Green Coffee Bean Extract",Duangjai A.,Journal of Human Earth and Future,2024,Article,,First Author,10.28991/HEF-2024-05-01-08,9,Thailand Science Research and Innovation,FF65-UOE65001,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,SDG 2 (?),การป้องกันเบาหวาน target 3.4; อาหารเชิงหน้าที่อาจแตะ SDG 2,ปานกลาง,,,
9,Purple Eggplant (Solanum melongena L.) Ameliorates D-Galactose-Induced Cognitive Impairment Through Inhibition of Oxidative Stress and Acetylcholinesterase in the Hippocampus of an Aging Rat Model,Jeefoo W.P.,Trends in Sciences,2024,Article,Q2,Co-Author,10.48048/tis.2024.7245,3,University of Phayao,FF65-RIM115,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,ภาวะสมองเสื่อม/ผู้สูงอายุ target 3.4,ปานกลาง,,,
10,Chlorogenic acid in green bean coffee on body weight: a systematic review and meta-analysis of randomized controlled trials,Kanchanasurakit S.,Systematic Reviews,2023,Article,Q1,Co-Author,10.1186/s13643-023-02311-4,17,University of Phayao,UoE63004,Thailand,ไม่มีข้อมูล (เว็บไซต์แสดงประเภทเอกสารแทนบทคัดย่อ),SDG 3,,ภาวะน้ำหนักเกิน/โรคอ้วน target 3.4,ปานกลาง,,,
